NAME,playerID,yearID,stint,teamID,lgID,G,G_batting,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_old
"Brent Lillibridge","lillibr01","2010","1","CHA","AL","64","64","98","19","22","5","2","2","16","5","3","3","36","0","0","0","0","2",\N
"Adam Lind","lindad01","2008","1","TOR","AL","88","88","326","48","92","16","4","9","40","2","0","16","59","3","2","1","4","8","88"
"Adam Lind","lindad01","2009","1","TOR","AL","151","151","587","93","179","46","0","35","114","1","1","58","110","7","5","0","4","15",\N
"Adam Lind","lindad01","2010","1","TOR","AL","150","150","569","57","135","32","3","23","72","0","0","38","144","3","3","0","3","10",\N
"John Lindsey","lindsjo01","2010","1","LAN","NL","11","11","12","0","1","0","0","0","0","0","0","0","3","0","1","0","0","1",\N
"Jose Lobaton","lobatjo01","2009","1","SDN","NL","7","7","17","0","3","0","0","0","0","0","0","0","5","0","0","0","0","1",\N
"Paul Lo Duca","loducpa01","2008","1","WAS","NL","46","46","139","13","32","7","0","0","12","1","0","9","9","0","5","0","0","9","46"
"Paul Lo Duca","loducpa01","2008","2","FLO","NL","21","21","34","3","10","2","0","0","3","0","0","6","2","0","0","0","0","1","21"
"James Loney","loneyja01","2008","1","LAN","NL","161","161","595","66","172","35","6","13","90","7","4","45","85","6","3","1","7","25","161"
"James Loney","loneyja01","2009","1","LAN","NL","158","158","576","73","162","25","2","13","90","7","3","70","68","10","0","1","4","16",\N
"James Loney","loneyja01","2010","1","LAN","NL","161","161","588","67","157","41","2","10","88","10","5","52","95","9","4","0","4","14",\N
"Evan Longoria","longoev01","2008","1","TBA","AL","122","122","448","67","122","31","2","27","85","7","0","46","122","4","6","0","8","8","122"
"Evan Longoria","longoev01","2009","1","TBA","AL","157","157","584","100","164","44","0","33","113","9","0","72","140","11","8","0","7","27",\N
"Evan Longoria","longoev01","2010","1","TBA","AL","151","151","574","96","169","46","5","22","104","15","5","72","124","12","5","0","10","15",\N
"Felipe Lopez","lopezfe01","2008","1","WAS","NL","100","100","325","34","76","20","0","2","25","4","5","32","54","1","2","2","2","13","100"
